Date,NIFTY_50,NIFTY_FIN_SERVICES,NIFTY_AUTO
2010-01-04,5232.2001953125,4010.679931640625,3719.530029296875
2010-01-05,5277.89990234375,4010.679931640625,3719.530029296875
2010-01-06,5281.7998046875,4010.679931640625,3719.530029296875
2010-01-07,5263.10009765625,4010.679931640625,3719.530029296875
2010-01-08,5244.75,4010.679931640625,3719.530029296875
2010-01-11,5249.39990234375,4010.679931640625,3719.530029296875
2010-01-12,5210.39990234375,4010.679931640625,3719.530029296875
2010-01-13,5233.9501953125,4010.679931640625,3719.530029296875
2010-01-14,5259.89990234375,4010.679931640625,3719.530029296875
2010-01-15,5252.2001953125,4010.679931640625,3719.530029296875
2010-01-18,5274.85009765625,4010.679931640625,3719.530029296875
2010-01-19,5225.64990234375,4010.679931640625,3719.530029296875
2010-01-20,5221.7001953125,4010.679931640625,3719.530029296875
2010-01-21,5094.14990234375,4010.679931640625,3719.530029296875
2010-01-22,5036.0,4010.679931640625,3719.530029296875
2010-01-25,5007.89990234375,4010.679931640625,3719.530029296875
2010-01-27,4853.10009765625,4010.679931640625,3719.530029296875
2010-01-28,4867.25,4010.679931640625,3719.530029296875
2010-01-29,4882.0498046875,4010.679931640625,3719.530029296875
2010-02-01,4899.7001953125,4010.679931640625,3719.530029296875
2010-02-02,4830.10009765625,4010.679931640625,3719.530029296875
2010-02-03,4931.85009765625,4010.679931640625,3719.530029296875
2010-02-04,4845.35009765625,4010.679931640625,3719.530029296875
2010-02-05,4718.64990234375,4010.679931640625,3719.530029296875
2010-02-08,4760.39990234375,4010.679931640625,3719.530029296875
2010-02-09,4792.64990234375,4010.679931640625,3719.530029296875
2010-02-10,4757.2001953125,4010.679931640625,3719.530029296875
2010-02-11,4826.85009765625,4010.679931640625,3719.530029296875
2010-02-15,4801.9501953125,4010.679931640625,3719.530029296875
2010-02-16,4855.75,4010.679931640625,3719.530029296875
2010-02-17,4914.0,4010.679931640625,3719.530029296875
2010-02-18,4887.75,4010.679931640625,3719.530029296875
2010-02-19,4844.89990234375,4010.679931640625,3719.530029296875
2010-02-22,4856.39990234375,4010.679931640625,3719.530029296875
2010-02-23,4870.0498046875,4010.679931640625,3719.530029296875
2010-02-24,4858.60009765625,4010.679931640625,3719.530029296875
2010-02-25,4859.75,4010.679931640625,3719.530029296875
2010-02-26,4922.2998046875,4010.679931640625,3719.530029296875
2010-03-02,5017.0,4010.679931640625,3719.530029296875
2010-03-03,5088.10009765625,4010.679931640625,3719.530029296875
2010-03-04,5080.25,4010.679931640625,3719.530029296875
2010-03-05,5088.7001953125,4010.679931640625,3719.530029296875
2010-03-08,5124.0,4010.679931640625,3719.530029296875
2010-03-09,5101.5,4010.679931640625,3719.530029296875
2010-03-10,5116.25,4010.679931640625,3719.530029296875
2010-03-11,5133.39990234375,4010.679931640625,3719.530029296875
2010-03-12,5137.0,4010.679931640625,3719.530029296875
2010-03-15,5128.89990234375,4010.679931640625,3719.530029296875
2010-03-16,5198.10009765625,4010.679931640625,3719.530029296875
2010-03-17,5231.89990234375,4010.679931640625,3719.530029296875
2010-03-18,5245.89990234375,4010.679931640625,3719.530029296875
2010-03-19,5262.7998046875,4010.679931640625,3719.530029296875
2010-03-22,5205.2001953125,4010.679931640625,3719.530029296875
2010-03-23,5225.2998046875,4010.679931640625,3719.530029296875
2010-03-25,5260.39990234375,4010.679931640625,3719.530029296875
2010-03-26,5282.0,4010.679931640625,3719.530029296875
2010-03-29,5302.85009765625,4010.679931640625,3719.530029296875
2010-03-30,5262.4501953125,4010.679931640625,3719.530029296875
2010-03-31,5249.10009765625,4010.679931640625,3719.530029296875
2010-04-01,5290.5,4010.679931640625,3719.530029296875
2010-04-05,5368.39990234375,4010.679931640625,3719.530029296875
2010-04-06,5366.0,4010.679931640625,3719.530029296875
2010-04-07,5374.64990234375,4010.679931640625,3719.530029296875
2010-04-08,5304.4501953125,4010.679931640625,3719.530029296875
2010-04-09,5361.75,4010.679931640625,3719.530029296875
2010-04-12,5339.7001953125,4010.679931640625,3719.530029296875
2010-04-13,5322.9501953125,4010.679931640625,3719.530029296875
2010-04-15,5273.60009765625,4010.679931640625,3719.530029296875
2010-04-16,5262.60009765625,4010.679931640625,3719.530029296875
